Scenario,Metric,Baseline,WithAdaptation,Improvement
ideal,Latency,100.0,100.00,0.00
ideal,Bandwidth,100.0,100.00,0.00
ideal,PacketLoss,100.0,100.00,0.00
ideal,TransferTime,100.0,100.00,0.00
ideal,Overall,100.0,100.00,0.00
congestion,Latency,100.0,100.00,0.00
congestion,Bandwidth,100.0,100.00,0.00
congestion,PacketLoss,100.0,100.00,0.00
congestion,TransferTime,100.0,100.00,0.00
congestion,Overall,100.0,100.00,0.00
international,Latency,100.0,86.66,13.34
international,Bandwidth,100.0,92.40,-7.60
international,PacketLoss,100.0,128.39,-28.39
international,TransferTime,100.0,175.43,-75.43
international,Overall,100.0,80.62,-19.38
wireless_interference,Latency,100.0,100.00,0.00
wireless_interference,Bandwidth,100.0,100.00,0.00
wireless_interference,PacketLoss,100.0,100.00,0.00
wireless_interference,TransferTime,100.0,100.00,0.00
wireless_interference,Overall,100.0,100.00,0.00
mobile_handover,Latency,100.0,84.79,15.21
mobile_handover,Bandwidth,100.0,91.82,-8.18
mobile_handover,PacketLoss,100.0,110.63,-10.63
mobile_handover,TransferTime,100.0,165.17,-65.17
mobile_handover,Overall,100.0,86.63,-13.37
asymmetric,Latency,100.0,379.93,-279.93
asymmetric,Bandwidth,100.0,60.04,-39.96
asymmetric,PacketLoss,100.0,486.64,-386.64
asymmetric,TransferTime,100.0,494.92,-394.92
asymmetric,Overall,100.0,-137.37,-237.37
satellite,Latency,100.0,69.04,30.96
satellite,Bandwidth,100.0,74.19,-25.81
satellite,PacketLoss,100.0,305.99,-205.99
satellite,TransferTime,100.0,350.72,-250.72
satellite,Overall,100.0,9.85,-90.15
extreme,Latency,100.0,100.00,0.00
extreme,Bandwidth,100.0,100.00,0.00
extreme,PacketLoss,100.0,100.00,0.00
extreme,TransferTime,100.0,100.00,0.00
extreme,Overall,100.0,100.00,0.00
